ID_CZASTECZKI, CORD_X, CORD_Y
Czasteczka nr. 132, 1.378689, 0.994452
Czasteczka nr. 133, 1.693044, 1.195877
Czasteczka nr. 134, 1.954515, 0.511214
Czasteczka nr. 135, 2.274388, 1.993988
Czasteczka nr. 136, 1.664828, 2.682995
Czasteczka nr. 137, 2.400470, 1.226362
Czasteczka nr. 138, 1.496047, 3.316384
Czasteczka nr. 139, 2.394886, 1.548206
Czasteczka nr. 140, 0.382575, 1.146022
Czasteczka nr. 141, 3.631176, 2.785212
Czasteczka nr. 142, 2.132655, 1.359500
Czasteczka nr. 143, 1.542491, 1.720294
Czasteczka nr. 144, 2.821404, 1.304253
Czasteczka nr. 145, 2.025895, 1.532497
Czasteczka nr. 146, 1.333566, 1.986343
Czasteczka nr. 147, 1.198090, 1.231152
Czasteczka nr. 148, 2.058356, 0.257968
Czasteczka nr. 149, 0.471643, 1.604829
Czasteczka nr. 150, 0.443925, 1.744276
Czasteczka nr. 151, 2.618399, 1.402532
Czasteczka nr. 152, 1.340276, 1.901789
Czasteczka nr. 153, 0.550854, 3.524659
Czasteczka nr. 154, 2.704374, 2.127811
Czasteczka nr. 155, 1.306289, 1.716434
Czasteczka nr. 156, 0.496586, 1.214792
Czasteczka nr. 157, 1.167002, 0.884651
Czasteczka nr. 158, 1.913238, 1.669442
Czasteczka nr. 159, 2.134086, 1.843204
Czasteczka nr. 160, 1.719911, 0.976290
Czasteczka nr. 161, 3.206255, 1.216968
Czasteczka nr. 162, 0.463432, 1.732609
Czasteczka nr. 163, 0.578008, 2.019321
Czasteczka nr. 164, 1.739130, 2.199216
Czasteczka nr. 165, 1.805791, 1.457263
Czasteczka nr. 166, 2.181065, 1.503195
Czasteczka nr. 167, 2.448287, 1.735473
Czasteczka nr. 168, 0.774759, 1.189908
Czasteczka nr. 169, 2.817000, 1.071761
Czasteczka nr. 170, 3.289858, 2.058869
Czasteczka nr. 171, 2.293448, 1.897690
Czasteczka nr. 172, 1.327323, 2.570381
Czasteczka nr. 173, 2.696247, 2.294888
Czasteczka nr. 174, 1.755490, 1.659264
Czasteczka nr. 175, 1.826447, 1.107479
Czasteczka nr. 176, 2.058207, 2.668349
Czasteczka nr. 177, 1.262957, 2.218468
Czasteczka nr. 178, 1.676080, 2.283430
Czasteczka nr. 179, 1.999443, 0.994225
Czasteczka nr. 180, 1.625278, 2.595977
Czasteczka nr. 181, 1.220238, 2.074111
Czasteczka nr. 182, 2.417104, 0.861732
Czasteczka nr. 183, 0.200717, 2.017977
Czasteczka nr. 184, 1.059171, 1.250566
Czasteczka nr. 185, 1.323254, 1.487413
Czasteczka nr. 186, 2.857125, 1.779294
Czasteczka nr. 187, 1.549706, 1.749034
Czasteczka nr. 188, 1.575796, 1.570798
Czasteczka nr. 189, 1.100359, 2.383481
Czasteczka nr. 190, 2.709553, 3.273879
Czasteczka nr. 191, 2.847337, 2.302056
Czasteczka nr. 192, 2.997725, 1.217780
Czasteczka nr. 193, 1.638755, 1.574183
Czasteczka nr. 194, 1.242448, 1.098892
Czasteczka nr. 195, 1.708141, 1.241181
Czasteczka nr. 196, 2.065696, 0.789778
Czasteczka nr. 197, 1.078727, 1.870342
Czasteczka nr. 198, 2.916304, 1.535431
Czasteczka nr. 199, 1.504596, 0.998406
Czasteczka nr. 200, 2.001606, 1.442349

STAN Z TURY: 1, , 
Czasteczka nr. 1, 2.333288, 1.142832
Czasteczka nr. 2, 1.801271, 1.577013
Czasteczka nr. 3, 2.246604, 1.378530
Czasteczka nr. 4, 1.581944, 0.830700
Czasteczka nr. 5, 1.963077, 0.925546
Czasteczka nr. 6, 0.719806, 0.904681
Czasteczka nr. 7, 2.335383, 1.455756
Czasteczka nr. 8, 1.466945, 0.905236
Czasteczka nr. 9, 1.643566, 1.528554
Czasteczka nr. 10, 1.040158, 1.748729
Czasteczka nr. 11, 1.999779, 0.844480
Czasteczka nr. 12, 1.748691, 1.684259
Czasteczka nr. 13, 2.287459, 1.366891
Czasteczka nr. 14, 1.313216, 1.306117
Czasteczka nr. 15, 1.716107, 0.836992
Czasteczka nr. 16, 1.616878, 0.652308
Czasteczka nr. 17, 0.346700, 0.382892
Czasteczka nr. 18, 2.161170, 1.355655
Czasteczka nr. 19, 1.978258, 1.141152
Czasteczka nr. 20, 1.771367, 1.467142
Czasteczka nr. 21, 1.706359, 1.451339
Czasteczka nr. 22, 1.008332, 1.227994
Czasteczka nr. 23, 1.861263, 1.091076
Czasteczka nr. 24, 1.631735, 1.611040
Czasteczka nr. 25, 1.956956, 0.635440
Czasteczka nr. 26, 1.153564, 2.875456
Czasteczka nr. 27, 2.585472, 1.256843
Czasteczka nr. 28, 2.946042, 1.869547
Czasteczka nr. 29, 1.964436, 1.659707
Czasteczka nr. 30, 0.655717, 1.404729
Czasteczka nr. 31, 2.389941, 1.508801
Czasteczka nr. 32, 2.340514, 1.398372
Czasteczka nr. 33, 1.383386, 0.868617
Czasteczka nr. 34, 1.767820, 0.466958
Czasteczka nr. 35, 2.730088, 1.228536
Czasteczka nr. 36, 2.003519, 1.421449
Czasteczka nr. 37, 1.721926, 1.042864
Czasteczka nr. 38, 0.737571, 2.286510
Czasteczka nr. 39, 1.131003, 1.711743
Czasteczka nr. 40, 2.644408, 0.924139
Czasteczka nr. 41, 2.162849, 1.849661
Czasteczka nr. 42, 1.825881, 1.217132
Czasteczka nr. 43, 2.186474, 1.252416
Czasteczka nr. 44, 0.912666, 1.576494
Czasteczka nr. 45, 2.756090, 2.109737
Czasteczka nr. 46, 1.371507, 0.766908
Czasteczka nr. 47, 0.920326, 1.090398
Czasteczka nr. 48, 1.731900, 1.040621
Czasteczka nr. 49, 2.285969, 1.816024
Czasteczka nr. 50, 1.941622, 1.262747
Czasteczka nr. 51, 1.935962, 1.223158
Czasteczka nr. 52, 1.889905, 1.684338
Czasteczka nr. 53, 1.050486, -0.169762
Czasteczka nr. 54, 1.855501, 2.359230
Czasteczka nr. 55, 1.433408, 1.592002
Czasteczka nr. 56, 1.734555, 0.787324
Czasteczka nr. 57, 1.481313, 1.252859
Czasteczka nr. 58, 1.890271, 1.577391
Czasteczka nr. 59, 1.765645, 1.370817
Czasteczka nr. 60, 1.725129, 0.572167
Czasteczka nr. 61, 1.714632, 1.797493
Czasteczka nr. 62, 2.425186, 1.821554
